,job_description,size,activity,language,Machine Learning,Deep Learning,NLP,Business Intelligence,Data Analytics,Cloud Computing,Big Data Frameworks,Statistics,Time Series,Database Management,Data Extraction,Data Mining,Python/R,SQL,NoSQL,Java/JavaScript,C/C++,Scala,SAS,Recommendation Systems,MLOps,DevOps,Flask,Optimization
1002," job description & summary we are looking for a candidate to join our globally focused and agile digital enablement team based in prague/brno. our team engages in data analytics, data science and data architecture activities for both clients in the czech republic and globally. we offer the possibility to work with premier clients, projects and technologies, giving you the opportunity to quickly broaden your experience and develop your skills. . we welcome applications from candidates who are graduates and or experienced professionals who are ready to lead an engagement team. what will you do? as a part of the prague and brno digital enablement agile team, you will be responsible for the development of innovative data driven solutions for pwc clients mainly in the field of big data and data science.you will apply your expertise in quantitative business analysis, data mining, and the presentation of data to see beyond the numbers.support, deliver and co-lead projects across all of the stages of the life cycle, from project requirements gathering, solution design, recommendations to project implementation.effective, articulate and professional communications, both verbal and written, to various project stakeholders.possess a full understanding of a project team’s roles, provide a pro-active contribution to the overall team’s success and lead and mentor junior colleagues in the team. what are we looking for in a candidate? at least 1 to 2 years experience within data-related roles, preferably in consultancy.technical background in it, statistics or mathematics is a must.hands-on experience in working with data (using sql, python).awareness of azure synapse, databricks, ml studio, snowflake, aws redshift, google bigquery and similar, knowledge of tools and programming languages used in large data sets analysis in the hadoop ecosystem (for instance hive, spark, kudu). hands-on experience is an advantage.proactive and able to work independently with a strong attention to detail.excellent communication and presentation skills is a plus.the ability to communicate in english and also czech or slovak. what can pwc offer? flexible working hours and almost unlimited home office working hours.personal recognition, in addition to your salary, we offer an annual bonus that is dependent upon your performance and the company’s results.overtime compensation, you can choose either overtime pay or extra time off.professional development, ongoing training and certification opportunities such as with microsoft (azure, powerapps), project management (prince2, pmi), service management (itil), agile development (scrum, safe), dama, salesforce, coaching and presentation skills amongst others. modern hardware/equipment (laptop, mobile phone and a monitor/chair for your home office).great coffee and refreshments in the kitchen.the ability to work internationally with colleagues across the pwc international network. ochrana osobních údajů pro žadatele o zaměstnání / privacy statement for recruitment applicants "," 1,001-5,000 employees ", Business Consulting and Services ,en,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1003," introduction sentence we at ""ai products"" are an interdisciplinary and international team. together we develop and operate it applications for the entire prosiebensat.1 group using artificial intelligence within a state-of-the-art technology stack. our mission is to be a driving force for p7s1 by championing the adoption of ai and data-driven thinking. we build innovative products that create value, unlock business opportunities, and empower our colleagues. in this role, you can work both on campus and remotely. you will get more information during your interview. what you can expect in this role as a data scientist you will work as part of a project team on the development of new machine learning applications and coach junior colleagues you will take responsibility and contribute your own ideas to ensure our applications use the best possible models, driving topics from feature engineering and algorithm selection to model monitoring/evaluationyou will work on our state-of-the-art ai / ml cloud platform with over 300gb of data processed daily and with frameworks like metaflow and mlflow on topics ranging from classical machine learning in big data environments to nlp and video miningyou will have the chance to perform advanced data analysis with sql and apache spark on distributed systems, as well as contribute your expertise in model selection and model training with cutting-edge frameworks (tensorflow, pytorch, etc.)you will be given a lot of freedom to develop yourself and our division - with us you can and should shape things, contribute your ideas and take on responsibilityteamwork and your development are always at the top of our agenda - you will work closely with our experienced team and receive the coaching you need to develop towards a senior data scientist your essential experience and education you have a university degree in data science, mathematics, physics, statistics or in a comparable field with (very) good gradesyou have several years of experience in data science, machine learning and big data, ideally with apache spark and you have very good python skillsyou have in-depth knowledge of statistical methods and machine learning algorithms ideally, you have experience with cloud services (aws, azure or gcp), ml-ops tools such as metaflow and mlflow, and software development with agile methodsyou like to proactively initiate topics and are always enthusiastic about what you are doingyou have excellent english skills, german skills are an advantage what's in it for you? take advantage of our wide range of training and development opportunities offered by the prosiebensat.1 academybenefit from a flexible work schedule with mobile working options and 30 vacation days per yearwork on modern fully equipped workplaces and use our wide range of sports (including yoga, football or workouts), post office, laundry and ironing service as well as many cafés and wifi on campusin addition to the campus's own daycare or a childcare allowance, there is a family service with free consultationenjoy an open corporate culture without dress code in the dynamic environment of the media industry closure we are looking forward to your application! apply within 5 minutes via our job portal or use the video application option. you can find out more about our application process here. please note that we can not accept applications by mail due to data protection reasons. prosiebensat.1 digital data gmbh is a subsidiary of prosiebensat.1 media se, the leading german entertainment group with a strong e-commerce business. running 14 free and pay-tv channels the group reaches over 45 million tv-households in germany, austria and switzerland every day. prosiebensat.1 generates eight billion video views per month with its global online entertainment offerings. the group’s e-commerce business has over 360 million customer interactions every year. the data generated is systematically recorded, prepared and analysed by prosiebensat.1 digital data gmbh experts. by applying state-of-the-art ai methodologies e.g. ensemble models comprising deep learning algorithms, computer visioning, and neural networks to generate vital findings about customer needs for the group’s entertainment and e-commerce offerings. the ultimate goal is to provide a cutting-edge, thrilling end-to-end entertainment experience for individual customers across all relevant touchpoints. company text click here to learn more about the prosiebensat.1 group locatet in unterföhring near munich and our diverse portfolio. as a signatory of the diversity charter, prosiebensat.1 is committed to a working environment free of prejudice and actively promotes diversity and equal opportunities among employees. you have a disability and would like to apply? then you are very welcome. we know that we are not entirely accessible yet, but we are working on it. let's talk about how we can eliminate any barrier together and find an individual solution if needed. although we refer to one gender in the text, all genders may be implied. "," 5,001-10,000 employees ", Broadcast Media Production and Distribution ,en,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1004," the data science team at olx group is responsible for building algorithmic solutions to facilitate transactions between buyers and sellers. we are developing personalization technologies and optimization strategies that have a direct impact on olx’s users as well as the company’s bottom line. you will be encouraged to research state-of-the-art machine learning, in the areas of search relevance, ranking, recommender systems, and more. applying these methods to core olx product platforms deployed in the cloud that are affecting the user experience for millions of visitors per month, rolling your solutions to production, analyzing model results offline and online, and measuring site impact. some of the challenges that we are focusing on are maximizing the relevance of the search results by applying ml-based rankers, combining different sources of ads in search and recommendations to optimize the satisfaction of both buyers and sellers, estimating the impact that the interactions generated by the buyers have on the revenue, and detecting trending products even before they become popular. the team the data science buyer team at olx group is responsible for unlocking the hidden value for our users by using data and artificial intelligence. our main goal is to help our customers to find the best products in an efficient and enjoyable way. we have a track record of impactful applications of ml to solve business problems in some of the main user flows and we want to continue expanding the boundaries of what ml is capable of at olx. our team collaborates with product teams from olx, as well as the motors and real estate verticals like otomoto and otodom, across the entire eu region. this means that our solutions need to scale to millions of data points and may be reused in markets with similar characteristics. we think of experimentation as a tool to learn what our users want. we always start simple and fail fast. this way we can create solutions that can be adapted to every market. on a typical day, you will be interacting with other members of your cross-functional team. you may collaborate with a data analyst to analyse the results of an a/b test or discuss different alternatives to impact the team’s kpis with the product manager, or you may have to present your amazing jupyter notebook to other data scientists to collect feedback. in any case, you will find a group of friendly people that wants to collaborate with you to improve the user experience and ultimately have fun together! what you will be doing: work in multi-functional teams with people from different backgroundsfind opportunities where data science will make an impacthelp to translate business requirements into machine learning modelsbuild effective solutions with machine learningbring machine learning services to production together with engineersmeasure the impact of your models on company goalscollaborate with internal and external stakeholders your skills and experience: strong data analysis and machine learning skillsat least 2 to 3 years of professional data science experienceexperience participating in projects related to search relevance and rankingstrong engineering background: proficiency in python and a good understanding of best engineering practicesexposure to other programming languages such as kotlin, java, scala, etcexperience with at least two of the following machine learning frameworks: scikit-learn, xgboost, tensorflow, pytorch, (or similar)hands-on experience in the python ecosystem for data science understanding of a/b testing and experimentationproficient in english with excellent written and oral communication skillsbased in poland nice to have: experience bringing models in production and serving models at scaleexperience using aws for deploying machine learning solutionsexperience with building data pipelines using tools like spark and airflowexperience with solr or elasticsearchexperience with recommender systemsexposure to nlp libraries such as spacy, sparknlp or bertexposure to production infrastructure and devops practices: monitoring, alerting, ci/cd, container-orchestrating platforms, and infrastructure-as-code tools (grafana, prometheus, kubernetes, terraform)exposure to mlops tools what we offer: strengths-based personal career development.company mobile phone, macbook pro or windows dell along necessary accessories to make your work comfortable.competitive compensation and benefits (medical care, sports package and others).training and conference budget.the opportunity to learn from each other and become better every day.a passionate and diverse team of data scientists spanning across several tech hubs in europe and around the world. about us: olx is the world’s leading classifieds platform in high-growth markets. it’s available in 40+ countries and in over 50 languages. the platform makes it so easy to connect people to buy, sell or exchange used goods and services.olx group is a global product and tech company with +20 brands, +40 countries, +10000 people and one mindset.our mission is to make it super easy for people to buy and sell almost anything, boosting local economies.we are proud to be different, and we work differently too. we combine the spirit and agility of a start-up with the maturity that comes from being part of a 100 year-old company.we are part of the prosus universe - the largest consumer internet company in europewe are curious, ambitious and allergic to corporate interference. we improvise, experiment and push each other further, embracing uncertainty and inspiring change.to find out more www.olxgroup.com/story if you are as excited as us about this position and our company, we hope you join us! if you’d like to learn more about us take a look around our careers page and the olx group website follow us on linkedin. check our olx group engineering blog and twitter tech. we are turning diversity & inclusion into our superpower and competitive advantage. we encourage people of all races, ethnicities, disabilities, ages, gender identity or expression, backgrounds and experiences to consider applying for this role. "," 10,001+ employees ", Internet Publishing ,en,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
1007," posted by filip deforce ceo at dice-cro send inmail are you ready to join the exciting world of forecasting, customer segmentation, promotional effectiveness analysis, pricing pressure and supply chain optimization? are you passionate about finding patterns in data? then join us now as: data scientist who are we? retailored is a niche boutique that provides advanced business analytics to retailers and fmcg companies. we’re a passionate team of data & analytics experts, providing end-to-end data driven solutions to improve our customer’s profitability. check us out on: https://www.retailored.be/ what makes us unique we are a growing organization, providing services to publicly listed & private companies who entrust us with their sensitive big data projects; you will get to work at some of the world’s leading brands and contribute straight to their bottom-line results through advanced analysis of their data; we offer an entrepreneurial environment with an opportunity for professional growth: you take ownership and are accountable, we create the right environment; we are committed to your continuous learning and development; collaboration and team spirit help us to deliver superior results for our customers. what you will be doing at retailored we are looking for a data scientist to help our customers reach their strategic goals by delivering data analytics and insights via advisory services. as a data scientist, you have only one aim: to provide innovative solutions for our customers’ challenging analytics. this includes:performing data cleansing, data wrangling and statistical analysis of data provided by retailored customers;creating and finetuning statistical models, generating forecasts and providing insight into the statistical forecast ability of the data set;visualizing your findings and presenting them to our customers in a way that a non-technical audience can understand;keeping up with academic research on forecasting and machine learning, by reading journals, attending conferences, etc., and sharing your knowledge with your co-workers;conducting your own research and prototyping of forecasting algorithms in-line with retailored product vision and road map and in cooperation with other data scientists;contributing to the continuous improvement of the statistical forecasting functionality by understanding its current capabilities and translating the findings obtained from your research and prototypes into functional requirements that can be passed to the software development team of our clients. who are we looking for a master’s degree in statistics or another quantitative discipline with a strong focus on statistics. a phd is an advantage;the ability to apply advanced data science techniques as well as having a deep understanding of the underlying mathematics and statistics;practical experience with predictive modelling, time series analysis and forecasting. techniques like multivariate linear regression, exponential smoothing, arima, prophet etc. hold no secrets for you. an affinity with data visualization tools and techniques is always a plus;good knowledge of open source programming languages like r and python and basic knowledge of relational databases and sql;fluency in dutch, french & english; a positive attitude even when data sets are small and/or have data quality problems. in fact, you see it as a challenge to improve data quality and get insights from every data set;the ability to work autonomously, as well as collaboratively in a team of data scientists, in an atmosphere where giving constructive feedback is a must. what we offer an entrepreneurial and leading role to contribute to the development of a growing and dynamic company: you will enjoy the possibility of evolving in both function, experience and knowledge; opportunity to work with various specialists on different domains. you can benefit from a range of training courses which give you the chance to find your own path;attractive salary package and all kinds of extra benefits, in an entrepreneurial, service-oriented, interactive and informal company culture. ", 1-10 employees , IT Services and IT Consulting ,en,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1008," curalie, a subsidiary of fresenius, is a young, agile company with locations in berlin, hamburg, düsseldorf and frankfurt. since 2017, we have been turning innovative ideas into digital offerings for patients and practical tools for health care professionals.our goal: to move patients, actively work towards health goals and improve their quality of life on their own responsibility. how you support us with curalie, we have set out to develop a platform for patient-centric care of chronically ill people. in addition to the technical platform, we are also developing the content of a variety of digital therapy programs. for current and future projects curalie is looking for you. you will work closely with product managers to measure and increase customer and company centric key performance indicators you will actively discuss use-cases with stakeholders, present results and collect feedback you will identify and evaluate potential data sources and algorithms to solve industry and business related problems you will analyze, explore and visualize data using statistical methods to discover potential solutions, opportunities and error sources you will conduct statistical evaluation and in-depth error analysis of baselines, competitors and own solutions you will participate in the research community and communicate scientific findings with data science and medical teams as well as management you will support data privacy, it security, compliance and quality management processes with practical and applicable solutions you will actively participate in a data science team to create a culture of learning from mistakes using incremental development cycles and feedback loops what sets you apart you have a strong background in the areas of data analytics, data processing and statistics. you can underpin your expertise with a master's degree or comparable qualification in the field of computer science, mathematics, statistics, medical informatics, data science or similar fields of study. you can proof extensive experience in statistical analysis, clinical study evaluation, and have programming experience in python or r. you have experience with relational and semi-structured databases (e.g. sql/nosql) or big-data transformation engines (e.g. spark, hadoop, map/reduce). you are a proficient user of version control systems (e.g. git), containerization (e.g. docker, kubernetes) and have experience in working with agile teams (e.g. scrum). experience in machine learning (e.g. clustering, classification, regression and anomaly detection) is beneficial. you like to work independently and agile. written or spoken german language skills are beneficial for understanding the data, but not required for this role. since our team unites a wide range of nationalities, you should be able to communicate in english. finally a bit of humour and a lot of creativity won't hurt - we have plenty of this too. please note: a valid visa for germany is required and we don't cover relocation / extended visa assistance. what we offer you with us there are no rigid working hours - if you have an appointment with a tradesman, you simply move your workplace home. would you prefer to work part-time? this is also possible with us. we will pay you a part of your bvg ticket. you can develop together with us. it will never be boring because you will be working with highly motivated, interesting people and get to know many different topics. we are an agile team of scientists, product people, developers, researchers, doctors, therapists - cosmopolitan personalities like you. we often cook together for lunch in our great kitchen. and maybe you would like to play a little table tennis? a unique workplace awaits you in berlin-mitte. if you want to work for a meaningful cause, then help us to develop digital products that really improve the quality of life for patients and their families. you like what you read here? then apply - please send us an e-mail with a pdf file (cover letter and curriculum vitae), the earliest possible starting date and your desired salary. if you are still not sure after the interview: how about one or two trial days with us? just talk to us about it. ", 51-200 employees , Hospitals and Health Care ,en,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1009," posted by sathana jeyanthiran tech talent acquisition partner send inmail applies and integrates statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high volume data from a variety of sourcesdevelops and maintains infrastructure systems that connect internal data sets; creates new data collection frameworks for structured and unstructured data general profile: developing professional role with working knowledge in own discipline. solves a range of routine problems. demonstrates some proficiency with concepts and processes analyses possible solutions using standard procedures .receives a moderate level of guidance and direction from more senior level roles. recommended skills: functional knowledge: requires expanded conceptual knowledge in own job discipline and broadens capabilities business expertise: understands key business drivers; uses this understanding to accomplish own work leadership: no supervisory responsibilities but may provide guidance to new associates problem solving: solves standard problems by analyzing possible solutions using experience, judgment and precedents impact: impacts quality of own work and the work of others on the team; works within guidelines and policies interpersonal skills: explains information to others in straightforward situations "," 5,001-10,000 employees ", Information Services ,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013," why lhotse at lhotse, we are reinventing how organizations use data and technology to buy goods and services. we are on a mission to reimagine how companies manage their spend by bringing the first true b2c experience to procurement teams. check out our website to learn more. join us and get the unique opportunity to: embark on a vc-backed rocket ship - we count some of germany's most successful tech entrepreneurs among our angel investorscontribute to solving global problems faced by millions of companies and their employees, every daybe part of a highly motivated and diverse team that will support and challenge you as you grow and developsee who your future teammates will be: lhotse on linkedin about the team the data science team develops models and leverages its expertise to offer the best experience and products. using statistics, artificial intelligence, and a lot of creativity, our team strives for cutting-edge model development techniques. from statistical heuristics to deep learning, data is taken seriously to better develop, scale and optimize our business needs. our team principles we care about the person behind the dicemiscellaneous sets do not overlapwe reinforce our learningsdata is no magic bullet (not yet at least)iterate fast! what you will do and what is expected from you?build data products that delight our customers and contribute to company successown your projects from the business problem to the code in production, includingthe analysis of vast amounts of datathe development and maintenance of data pipelinesthe monitoring of your data products after deploymentbuild our machine learning infrastructure and best practicescuriosity to look for ways to improve what has already been donesolid knowledge in collecting and cleaning data for analysis and modelsexcellent ability to interact with multidisciplinary teamswillingness to learn quickly and work in a fast-paced environment how will you do it? machine learning you apply regressors, classifiers, and recommenders. you understand in detail the underpinning of ml techniques. applied experience in setting machine learning models into production is a plus.software engineering you are fluent in a modern programming language (python/scala). analytics you can transform data into wisdom. you know how to test hypotheses. you are proficient with an analytics tool (python/r) and with sql. what you will get growth ― we place importance on building a fun and productive environment where we give space to people to develop and fulfil their potentialimpact ― exposure to the whole journey as one of the first members of the adventurefreedom ― flexible working hours, ability to partly work remotely, 28 days of vacationrewards ― competitive compensation and vsopfun ― beautiful office in the center of berlin mitte and regular team events and opportunities :) how to apply share with us your cv or linkedin profile (if you believe it paints an adequate picture of your profile)please don’t send a cover letter. instead, we’d like to read or hear (1) what is the achievement you’re the proudest about and (2) what is one contribution you will bring to our team: a short paragraph or 1 min voice message works. if you have a portfolio / code that you think is worth looking at, please provide a link. we appreciate your work and are interested in taking a look!let us know about your availability in addition to this full-time role, we are always looking for motivated interns across all functions! ", 11-50 employees , Software Development ,en,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1015," description the data scientist understands the business need/requirement and supports decision making with data science and statistical analysis, using wide ranges of data available to them. working with the business owners the data scientist ensures business questions are answered through the interpretation of data and provision of analytical models.typically reports to the chapter lead. job responsibility demonstrates deep understanding of modelling techniques, algorithms and being able to tune, modify and implement changes to address different business questions; provides deep technical analytical and data expertise to the business - colleagues and other data scientists - solving complex business problems by using available data; develops key predictive models and products, and manages a wider team to execute against the demand plan; engages with senior stakeholders across the business to advise and solve complex problems, being seen as the local technical expert; develops and deploys statistical models to include machine learning models and delivers coding solutions for complex use cases based on commercial requirements; constantly monitors and optimizes performance of developed models by driving experiments, benchmarking, etc.; uses a variety of datasets to test hypotheses, discover hidden relationships and provide actionable insights to vodafone�s businesses; uses data visualisation to engage audience in a compelling way, enabling effective storytelling; delivers key packages of work, on time and in a collaborative manner to meet the needs of business customers; works in partnership with technology and local bi and analytics teams to agree on pragmatic means of data provision to support use cases. skills data modelling data visualisation data analytics and insights ai - deep and machine learning agile business acumen coding "," 10,001+ employees ", Telecommunications ,en,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016," posted by britt gabriëls interim it recruitment partner ecg - adevinta benelux send inmail marktplaats in the netherlands, and 2dehands and 2ememain in belgium, are part of adevinta: a global online classifieds specialist with marketplaces in 16 regions. the three brands are hosted on a multi-tenant platform, operated from our amsterdam location, and are the top players in the classifieds space throughout the benelux region. we run on both android and ios apps, and on the web. we offer consumers the opportunity to trade their unwanted products and contribute to a greener, circular economy. we offer businesses - of all sizes, from the smallest hobbyist to the biggest brands in benelux - a platform to showcase their goods and services online to over 11 million monthly unique users. adevinta is recognised as a sustainability leader and is one of only six companies listed in the media & entertainment industry group on the dow jones sustainability index (djsi) europe. about the rolehow can we help buyers and sellers trust each other? what information is most important for buyers when purchasing a car? how can we measure a user’s satisfaction with a new offer? do these questions sound exciting? as a product insight data scientist, you will drive better user experience by formulating the right questions and then figuring how to answer them using data analysis, machine learning, modelling, and continuous experimentation. marktplaats is organized around multi-functional product teams which consist of product managers, business owners, ux designers, developers and marketers. the product analytics team supports the product teams, leading data-driven mentality and helping to build and evaluate new products. what you’ll dofind opportunities to improve our product by analyzing user behavior.design and set up experiments, recommend solutions and alternative solutions that enable us to understand where to focus our efforts.validate the impact we make with new initiatives.visualize and communicate your findings to product teams and other partners.work with product teams to define key experiment metrics and kpis. what you’ll needexperience in an analytics or data science environment.strong background in statistics, computer science, econometrics, economics, or other quantitative field.knowledge of python and/or r.proficiency working with large data sets. good knowledge of sql. familiarity with hadoop and/or spark is a plus.experience working with cloud-based data tools is a plus. experience with articulating product questions and using statistics to arrive at an answer.familiarity with experimentation (a/b testing)capable of translating analysis results into business recommendations.real hunger & curiosity for understanding user behavior.creativity, initiative and drive.superb communication (written/verbal) and presentation abilities in english. our way of workingmeaningful work: we are a diverse, international, highly skilled and passionate team committed to a world where people share more and waste less. every day you will have the opportunity to make a huge difference for our users, customers as well as shape the future.flexibility: we believe that work is what you do, not where you do it. so we provide mobile work and flexible hours that gives you the autonomy, and scope to set your own working patterns and agendas. we empower our teams and people to decide which key moments they want to spend face to face, instead of fixing a number of office days.work-life balance: our people really do come first and we have lots of options for greater work-life balance including part-time work, and additional three months fully-paid parental leave time.growth and development: we are a global organisation who truly believes in growing our people. to support this we offer lots of development and training opportunities and provide a budget for our team members.competitive compensation: we know that our people are the key to our success and our compensation packages reflect this.connection and inclusion: our culture is the glue that holds us together. we believe in making meaningful connections and creating an inclusive atmosphere with lots of opportunities to connect both in your day to day work and through social team activities (online and offline). benefitsbenefits are an essential part of your total compensation for the work you do every day. whether you’re single, in a growing family, or nearing retirement, adevinta* offers a variety of comprehensive and competitive benefit programs to meet your needs. covid-19people are the heart of adevinta*, and their health and well-being are our first priority. we continue to monitor local government guidance and partner closely with medical advisors to determine the safest and best next steps for everyone. we will discuss the particular case for your region during the interview process. as a general rule, interviews will be completed remotely over video calls. ebay classifieds group (ecg) is now part of adevinta, an innovative leader in digital marketplaces spanning 16 countries. we’re all about matchmaking, and our sites help people find whatever they’re looking for in their local communities. every connection made or item found makes a difference by creating a world where people share more and waste less. as a global network of loved local brands, including ebay kleinanzeigen in germany, marktplaats in the netherlands, and leboncoin in france, our team of over 7,000 employees are there to make things better, safer and easier for the people who choose to visit and use our marketplaces every month. ", 51-200 employees , Internet Publishing ,en,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1017," we are on a mission to make science open so everyone can live healthy lives on a healthy planet who we are frontiers is an award-winning open science platform and leading open access scholarly publisher. we are one of the largest and most cited publishers globally. to date, our 200,000 freely available research articles have received more than 1 billion views and downloads and 2 million citations. our journals span science, health, humanities and social sciences, engineering, and sustainability. and we continue to expand into new academic disciplines so more researchers can publish open access. be part of the publishing revolution and help us transform the way research is published, evaluated, and communicated to the world. job role we are looking for a data scientist (natural language processing) who can work on production-ready artificial intelligence (ai) to support our industry-leading ai publishing platform. you will work in a department of data scientists and machine learning engineers to develop cutting edge solutions with a focus on natural language processing (nlp) to help us evolve our state-of-the-art ai review assistant (aira). key responsibilities development, optimization and evaluation of ml models and algorithmstechnological review of data science solutions and communication to non-technical stakeholdersproactive identification of opportunities for potential ai products within frontierseffective collaboration with product managers, ml engineers, software and data engineers to design scalable state of the art ml models requirements proficiency in pythonexperience with sql and big data platforms (e.g. spark, azure databricks)candidates are encouraged to share portfolio of nlp projects familiarity with: text pre-processing (e.g. lemmatization, stemming, stopwords, normalization)word and document embeddingslanguage models, bert and other transformer modelsexperience with k-means algorithmsdimensionality reduction techniques and bayesian techniquesnlp packages (spacy, allennlp, huggingface transformers, nltk) benefits with more than 50 nationalities represented in our global team, you will work regularly with teammates in other countries, and with our community of researchers, editors, and authors from around the globe. our mission to create solutions for healthy lives also extends to the working environment we provide for our employees. this includes: 100% remote working employees now have the flexibility to choose where they want to work, with remote working available on a part- or full-time basis (not applicable to some business support jobs due to nature of role). learning and development all employees have access to linkedin learning (and pluralsight for our technology team), an annual personal learning budget, and dedicated l&d time. wellbeing we offer free online yoga classes, an employee assistance plan, access to the headspace app, and four wellbeing days on top of your annual leave allowance. volunteering opportunities employees can dedicate three days each year to volunteer for a personal cause or through our volunteering partner platform, alaya. frontiers actively embraces diversity and is a safe and welcoming workplace. recruitment is free from discrimination – including based on race, national or ethnic origin, age, religion, disability, sex, gender identity or sexual orientation. with over 600 employees from more than 50 different nations, our diversity creates vibrant teams and constantly challenges us to appreciate multiple perspectives. "," 1,001-5,000 employees ", Book and Periodical Publishing ,en,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
